File,Author,Creator,Producer,Subject,Title,PageCount,Comment
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00083_undergrtrench.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,undergrtrench,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01773_soilresults.pdf,,,Acrobat Distiller 3.0 for Macintosh,,Interpretation of Soil Test Results,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00430c_RiparianTrees.pdf,,Adobe InDesign CS3 (5.0.2),Adobe PDF Library 8.0,,,16,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00046_dispersiontrench.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,dispersiontrench,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01997_WashingtonRoadImpoundedWetlands.pdf,www,PScript5.dll Version 5.2,http://createpdf.adobe.com V5.1,,Microsoft Word - 3F85DC15-51CC-100765.doc,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01326_NRCS_streamexample.pdf,,Adobe InDesign CS2 (4.0.2),Adobe PDF Library 7.0,,"Case Study 15--Streambank Stabilization in the Guadalupe River Basin, Santa Clara County, CA",8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01749_FoodWasteCompost.pdf,global,Acrobat PDFMaker 7.0 for Word,Acrobat Distiller 7.0 (Windows),,URBAN FOOD WASTE COMPOSTING,115,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00055_parklotstorage.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,parklotstorage,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00548_to_00557_Maintaining_stormwatersystems.pdf,,,Acrobat Distiller 7.0.5 (Windows),,untitled,38,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01725_OklahomaForestryStreamCrossings.pdf,ggeissler,PScript5.dll Version 5.2,GPL Ghostscript 8.15,,"Microsoft Word - Forestry Note, Introduction to Road Stream Crossings.doc",4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00709_riparian.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01723_CrossingRemovals.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00887_to_00910_KSUInformationSigns.pdf,,Adobe InDesign CS2 (4.0.5),Adobe PDF Library 7.0,,,24,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00073_peatsandfilter.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,peatsandfilter,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00928_USDAGrazingIntermountainRegion.pdf,USDA Forest Service - Rocky Mountain Research Station,Adobe Acrobat 6.0,Adobe Acrobat 6.0 Paper Capture Plug-in,INT-GTR-263,Managing grazing of riparian areas in the lntermountain Region,15,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00911_westernRiparianplant.pdf,anne.derting,Acrobat PDFMaker 9.1 for Word,Acrobat Distiller 9.0.0 (Windows),,TECHNICAL NOTES,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00370_to_00380_AgriLife Wetland.pdf,Art1,Adobe InDesign CS2 (4.0.5),Acrobat Distiller 7.0.5 for Macintosh,,80395 Wetland & Construction.indd,23,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01766_OKGravel.pdf,m5perarc,PScript5.dll Version 5.2.2,Acrobat Distiller 9.3.0 (Windows),,Microsoft Word - Guid-Sand 2010 Revision Final.doc,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00023_parklotscleaning.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,parklotscleaning,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00319_to_00328_Stewardship_Education.pdf,,Adobe InDesign CS2 (4.0.5),Adobe PDF Library 7.0,,,40,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01759_manure_management_handbook.pdf,Athena Lee Bradley,Acrobat PDFMaker 8.1 for Word,Acrobat Distiller 8.1.0 (Windows),,Manure Management Handbook,27,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00960_riparian_wetlands_guide_book.pdf,t281boyl,PScript5.dll Version 5.2,Acrobat Distiller 6.0.1 (Windows),,ReparianWetlandsGuide1sided.FH10,16,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01424_Sugarland.pdf,robert valenzuela,Microsoft® Office Word 2007,Microsoft® Office Word 2007,,,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01979_MaineDOTFishPassage.pdf,Charles.Hebson,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,,Microsoft Word - Design Guide Draft 07-1807.doc,61,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01688_ScotlandPollution.pdf,,QuarkXPress(R) 7.01,QuarkXPress(R) 7.01,,Layout 1,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01346_OhioWood.pdf,NR733G3,Adobe PageMaker 6.5,Acrobat Distiller 4.05 for Macintosh,,stfs21,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01341_OhioFacines.pdf,,,Acrobat Distiller 3.0 for Power Macintosh,,,4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01780_testing.pdf,,Adobe InDesign 2.0.2,Adobe PDF Library 5.0,,WQ_43,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00118_liveslopegrating.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,liveslopegrating,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00085_wqv_stor_tank.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,wqv-stor-tank,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01215_Mtg_unimelb_edu_au.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01976_hopkins_and_mcgillicuddy.pdf,Matt Hamilton,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows),,Microsoft Word - Project,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01988_RedcedarOklahoma.pdf,scolton,PScript5.dll Version 5.2,Acrobat Distiller 5.0 (Windows),,Microsoft Word - Redcedar Strategy to Printer.doc,57,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00367_livegully.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,livegully,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01685_MinnesotaWellheadProtection.pdf,Zachmann,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0.5 (Windows),,Cultivation of agricultural crops in wellhead protection (WHP) areas may pose a contamination risk to public drinking wat...,15,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01600_CropRotation_Neon_Cornell_edu.pdf,Chuck Mohler,Acrobat PDFMaker 6.0 for Word,Acrobat Distiller 6.0 (Windows),,1,23,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00757_to_00758_AnIntegratedFrameworktoRestoreSmallUrbanWatersheds.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00027_checkdam.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,checkdam,4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00963_why_riparian_setbacks.pdf,Linda,PScript5.dll Version 5.2,Acrobat Distiller 6.0.1 (Windows),,Microsoft Word - Why Riparian Setbacks_January 2006 _2_.doc,5,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00103_channelblock.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,channelblock,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01150_LIPSpring2011.pdf,,Adobe InDesign CS4 (6.0.6),Adobe PDF Library 9.0,,,20,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01435_USArmyAlaska.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00093_fishpassages.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,fishpassages,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00952_to_00954_ChagrinModels.pdf,,Adobe Acrobat 6.0,Acrobat Distiller 6.0.1 (Windows),,,82,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00490_stabilitythresholds.pdf,u4ercvld,Microsoft Word ,Acrobat PDFWriter 4.0 for Windows,,sr29.PDF,10,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01335_to_01340_OhioExt_RiparianLivestock.pdf,,Adobe InDesign CS (3.0),Adobe PDF Library 6.0,,LS4_feb17.indd,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01347_to_01350_OklahomaForestry.pdf,ggeissler,PScript5.dll Version 5.2,GPL Ghostscript 8.15,,Microsoft Word - Oklahoma Forestry BMPS 2008.doc,23,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00003_constsequence.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,constsequence,3,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00060_bioretentsys.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,bioretentsys,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00943_to_00946_VirginiaForestryA4.pdf,User,PScript5.dll Version 5.2,Acrobat Distiller 5.0 (Windows),,wq-BMP-Append-A4.pdf,14,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00922_Riparian_Setback_Ordinance.pdf,t269vidr,PScript5.dll Version 5.2.2,Acrobat Distiller 5.0.5 (Windows),,Microsoft Word - RipWet Ordinance 1-27-06.doc,19,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00716_riparian.pdf,,,,,,14,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01345_OhioTreesDitches.pdf,NR733G3,Adobe PageMaker 6.52,Acrobat Distiller 3.0 for Power Macintosh,,stfs08,2,
